ticker,today_close,close_7d_ago,momentum_pct,passed_momentum,today_volume,sma20_volume,volume_ratio,passed_volume,passed_stage_a,checked_on
1015.KL,6.84,6.75,1.33,True,6454700,5791120.0,1.11,False,False,2026-09-10T18:32:35+00:00
1023.KL,7.92,7.85,0.89,True,12150100,10179845.0,1.19,False,False,2026-09-10T18:32:35+00:00
1066.KL,8.13,8.34,-2.52,False,8540900,8304760.0,1.03,False,False,2026-09-10T18:32:35+00:00
1082.KL,18.94,19.1,-0.84,False,99000,76845.0,1.29,False,False,2026-09-10T18:32:35+00:00
1155.KL,10.46,10.56,-0.95,False,8373300,18727580.0,0.45,False,False,2026-09-10T18:32:35+00:00
1295.KL,4.85,4.8069,0.9,True,16123400,20167370.0,0.8,False,False,2026-09-10T18:32:35+00:00
1961.KL,4.79,4.7,1.91,True,9803000,5710195.0,1.72,False,False,2026-09-10T18:32:35+00:00
2445.KL,22.74,21.84,4.12,True,331700,1010830.0,0.33,False,False,2026-09-10T18:32:35+00:00
3182.KL,1.97,2.03,-2.96,False,9760900,5065445.0,1.93,False,False,2026-09-10T18:32:35+00:00
3336.KL,2.86,2.85,0.35,True,6331500,18997555.0,0.33,False,False,2026-09-10T18:32:35+00:00
3816.KL,7.87,7.95,-1.01,False,1273800,1788860.0,0.71,False,False,2026-09-10T18:32:35+00:00
4065.KL,9.73,9.5711,1.66,True,177700,392520.0,0.45,False,False,2026-09-10T18:32:35+00:00
4197.KL,2.55,2.59,-1.54,False,12613600,16492860.0,0.76,False,False,2026-09-10T18:32:35+00:00
4677.KL,2.36,2.4,-1.67,False,18942700,23787725.0,0.8,False,False,2026-09-10T18:32:35+00:00
4707.KL,92.0,98.7,-6.79,False,26600,50680.0,0.52,False,False,2026-09-10T18:32:35+00:00
4715.KL,1.54,1.66,-7.23,False,3472600,2324600.0,1.49,False,False,2026-09-10T18:32:35+00:00
4863.KL,8.0,7.6512,4.56,True,4733800,4755625.0,1.0,False,False,2026-09-10T18:32:35+00:00
5225.KL,7.89,8.15,-3.19,False,2526300,3610710.0,0.7,False,False,2026-09-10T18:32:35+00:00
5347.KL,13.72,13.76,-0.29,False,6901800,6471325.0,1.07,False,False,2026-09-10T18:32:35+00:00
5398.KL,4.91,4.46,10.09,True,13465900,14902165.0,0.9,False,False,2026-09-10T18:32:35+00:00
5681.KL,20.66,19.888,3.88,True,480000,333090.0,1.44,False,False,2026-09-10T18:32:35+00:00
5819.KL,23.6,23.7,-0.42,False,437700,586510.0,0.75,False,False,2026-09-10T18:32:35+00:00
6012.KL,3.59,3.6193,-0.81,False,1346600,2052530.0,0.66,False,False,2026-09-10T18:32:35+00:00
6033.KL,17.34,17.5382,-1.13,False,456800,475480.0,0.96,False,False,2026-09-10T18:32:35+00:00
6399.KL,0.055,0.06,-8.33,False,1687100,1858420.0,0.91,False,False,2026-09-10T18:32:35+00:00
6742.KL,5.74,5.64,1.77,True,23305000,16406435.0,1.42,False,False,2026-09-10T18:32:35+00:00
6888.KL,1.74,1.76,-1.14,False,10233700,8885175.0,1.15,False,False,2026-09-10T18:32:35+00:00
6947.KL,2.75,2.7358,0.52,True,1425600,3134550.0,0.45,False,False,2026-09-10T18:32:35+00:00
7084.KL,3.88,3.7753,2.77,True,1530100,1129475.0,1.35,False,False,2026-09-10T18:32:35+00:00
7113.KL,0.765,0.635,20.47,True,147367200,13496140.0,10.92,True,True,2026-09-10T18:32:35+00:00
7277.KL,1.95,2.04,-4.41,False,6866500,6938065.0,0.99,False,False,2026-09-10T18:32:35+00:00
8869.KL,7.865,7.7055,2.07,True,3698500,7911320.0,0.47,False,False,2026-09-10T18:32:35+00:00
