ticker,name,source,validated_on
1015.KL,AMMB Holdings Berhad,starter_seed,2026-09-11T13:43:40+00:00
1023.KL,CIMB Group Holdings Berhad,starter_seed,2026-09-11T13:43:40+00:00
1066.KL,RHB Bank Berhad,starter_seed,2026-09-11T13:43:40+00:00
1082.KL,Hong Leong Financial Group Berhad,starter_seed,2026-09-11T13:43:40+00:00
1155.KL,Malayan Banking Berhad,starter_seed,2026-09-11T13:43:40+00:00
1295.KL,Public Bank Berhad,starter_seed,2026-09-11T13:43:40+00:00
1961.KL,IOI Corporation Berhad,starter_seed,2026-09-11T13:43:40+00:00
2445.KL,Kuala Lumpur Kepong Berhad,starter_seed,2026-09-11T13:43:40+00:00
3182.KL,Genting Berhad,starter_seed,2026-09-11T13:43:40+00:00
3336.KL,IJM Corporation Berhad,starter_seed,2026-09-11T13:43:40+00:00
3816.KL,MISC Berhad,starter_seed,2026-09-11T13:43:40+00:00
4065.KL,PPB Group Berhad,starter_seed,2026-09-11T13:43:40+00:00
4197.KL,Sime Darby Berhad,starter_seed,2026-09-11T13:43:40+00:00
4677.KL,YTL Corporation Berhad,starter_seed,2026-09-11T13:43:40+00:00
4707.KL,Nestle (Malaysia) Berhad,starter_seed,2026-09-11T13:43:40+00:00
4715.KL,Genting Malaysia Berhad,starter_seed,2026-09-11T13:43:40+00:00
4863.KL,Telekom Malaysia Berhad,starter_seed,2026-09-11T13:43:40+00:00
5225.KL,IHH Healthcare Berhad,starter_seed,2026-09-11T13:43:40+00:00
5347.KL,Tenaga Nasional Berhad,starter_seed,2026-09-11T13:43:40+00:00
5398.KL,Gamuda Berhad,starter_seed,2026-09-11T13:43:40+00:00
5681.KL,Petronas Dagangan Berhad,starter_seed,2026-09-11T13:43:40+00:00
5819.KL,Hong Leong Bank Berhad,starter_seed,2026-09-11T13:43:40+00:00
6012.KL,Maxis Berhad,starter_seed,2026-09-11T13:43:40+00:00
6033.KL,Petronas Gas Berhad,starter_seed,2026-09-11T13:43:40+00:00
6399.KL,Astro Malaysia Holdings Berhad,starter_seed,2026-09-11T13:43:40+00:00
6742.KL,YTL Power International Berhad,starter_seed,2026-09-11T13:43:40+00:00
6888.KL,Axiata Group Berhad,starter_seed,2026-09-11T13:43:40+00:00
6947.KL,CelcomDigi Berhad,starter_seed,2026-09-11T13:43:40+00:00
7084.KL,QL Resources Berhad,starter_seed,2026-09-11T13:43:40+00:00
7113.KL,Top Glove Corporation Berhad,starter_seed,2026-09-11T13:43:40+00:00
7277.KL,Dialog Group Berhad,starter_seed,2026-09-11T13:43:40+00:00
8869.KL,S P Setia Berhad,starter_seed,2026-09-11T13:43:40+00:00
